Journal ISO4 Abbreviation,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor
Sex Transm Dis,2011,6,185,12,0.008130081
Sex Transm Dis,2013,2,171,2,0.00273224
Sex Transm Dis,2015,1,129,1,0.001310616
Sex Transm Infect,1999,6,113,12,0.018292683
Sex Transm Infect,2000,4,126,16,0.011764706
Sex Transm Infect,2001,5,99,8,0.003838772
Sex Transm Infect,2002,4,131,7,0.002915452
Sex Transm Infect,2004,7,116,12,0.004347826
Sex Transm Infect,2005,3,101,5,0.00148368
Sex Transm Infect,2006,9,150,12,0.003076923
Sex Transm Infect,2007,3,125,4,0.00308642
Sex Transm Infect,2008,0,147,0,0.001564945
Sex Transm Infect,2009,2,126,2,0.003139717
Sex Transm Infect,2010,4,151,4,0.00310559
Sex Transm Infect,2013,3,163,4,0.004424779
Sex Transm Infect,2014,3,115,4,0.00270636
Sex. Plant Reprod.,2011,4,20,6,0.032258065
Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao,2000,9,128,9,0.010330579
Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao,2001,7,122,9,0.013671875
Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao,2002,9,134,10,0.012820513
Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao,2003,21,167,34,0.01598579
Shock,1999,22,109,63,0.006884682
Shock,2000,30,146,61,0.03633218
Shock,2001,22,142,49,0.034883721
Shock,2002,34,151,62,0.034810127
Shock,2003,25,159,52,0.032258065
Shock,2004,41,130,102,0.058984911
Shock,2005,39,159,106,0.078512397
Shock,2006,49,127,122,0.060526316
Shock,2007,39,161,127,0.059681698
Shock,2008,35,178,91,0.047989624
Shock,2009,35,143,62,0.046650718
Shock,2010,24,163,44,0.019347037
Shock,2011,24,151,44,0.030588235
Shock,2012,16,168,30,0.022646007
Shock,2013,15,132,19,0.017676768
Shock,2014,15,146,24,0.024358974
Shock,2015,6,179,7,0.006535948
Shokuhin Eiseigaku Zasshi,2002,3,88,5,0.022222222
Shokuhin Eiseigaku Zasshi,2003,3,72,3,0.005524862
Shokuhin Eiseigaku Zasshi,2004,4,64,5,0.0078125
Shokuhin Eiseigaku Zasshi,2005,6,70,8,0.00308642
Shokuhin Eiseigaku Zasshi,2007,4,59,5,0.013513514
Shokuhin Eiseigaku Zasshi,2010,3,55,4,0.007751938
Shokuhin Eiseigaku Zasshi,2013,3,57,3,0.00990099
SIAM J Imaging Sci,2013,1,4,2,0.111111111
SIAM J Imaging Sci,2015,1,2,1,0.090909091
SIAM J Sci Comput,2010,2,3,2,0.666666667
SIAM Rev Soc Ind Appl Math,2011,1,1,1,1
Simul Healthc,2012,4,47,25,0.108374384
Simul Healthc,2013,1,50,1,0.004464286
Singapore Med J,2010,2,217,2,0.001592357
Singapore Med J,2011,1,234,1,0.000789266
Singapore Med J,2012,3,245,4,0.00251046
Singapore Med J,2013,1,209,1,0.000881057
Singapore Med J,2014,2,179,2,0.001998002
Skelet Muscle,2015,9,35,15,0.123893805
Skeletal Radiol.,1999,3,119,14,0.020168067
Skeletal Radiol.,2000,4,123,5,0.003514938
Skeletal Radiol.,2001,5,117,27,0.011235955
Skeletal Radiol.,2003,3,117,3,0.001980198
Skeletal Radiol.,2004,5,119,18,0.003992016
Skeletal Radiol.,2005,5,114,7,0.004032258
Skeletal Radiol.,2007,8,185,17,0.00990099
Skeletal Radiol.,2008,5,155,6,0.006872852
Skeletal Radiol.,2009,7,154,7,0.003231018
Skeletal Radiol.,2010,5,161,7,0.006033183
Skeletal Radiol.,2011,5,197,5,0.005763689
Skeletal Radiol.,2012,4,210,36,0.012765957
Skeletal Radiol.,2013,4,223,4,0.003942181
Skeletal Radiol.,2014,2,234,4,0.004848485
Skin Pharmacol Physiol,2005,9,28,24,0.146341463
Skin Pharmacol Physiol,2006,17,24,77,0.192307692
Skin Pharmacol Physiol,2007,15,24,58,0.277310924
Skin Pharmacol Physiol,2008,15,23,29,0.094936709
Skin Pharmacol Physiol,2009,11,28,34,0.09375
Skin Pharmacol Physiol,2010,14,31,30,0.101796407
Skin Pharmacol Physiol,2011,4,38,11,0.052023121
Skin Pharmacol Physiol,2012,6,36,15,0.039548023
Skin Pharmacol Physiol,2013,5,35,13,0.050847458
Skin Pharmacol Physiol,2014,7,35,11,0.040229885
Skin Pharmacol Physiol,2015,6,30,7,0.035294118
Skin Pharmacol. Appl. Skin Physiol.,1999,16,30,67,0.142857143
Skin Pharmacol. Appl. Skin Physiol.,2000,10,30,29,0.078651685
Skin Pharmacol. Appl. Skin Physiol.,2001,16,39,31,0.069230769
Skin Pharmacol. Appl. Skin Physiol.,2002,21,42,79,0.140540541
Skin Pharmacol. Appl. Skin Physiol.,2003,14,32,40,0.04784689
Skin Res Technol,2002,11,30,45,0.107142857
Skin Res Technol,2003,12,30,48,0.184210526
Skin Res Technol,2004,24,15,219,0.885350318
Skin Res Technol,2005,15,25,36,0.095238095
Skin Res Technol,2006,5,42,6,0.017964072
Skin Res Technol,2007,23,42,30,0.040697674
Skin Res Technol,2008,28,44,71,0.175257732
Skin Res Technol,2009,10,54,29,0.044642857
Skin Res Technol,2010,9,49,14,0.027777778
Skin Res Technol,2011,4,64,5,0.007604563
Skin Res Technol,2012,7,63,10,0.022556391
Skin Res Technol,2013,18,118,24,0.071428571
Skin Res Technol,2014,7,61,9,0.023460411
Skin Res Technol,2015,9,59,11,0.028248588
Skull Base,2005,3,17,3,0.006666667
Skull Base,2006,3,19,4,0.014084507
Skull Base,2007,2,31,2,0.00862069
Sleep Biol Rhythms,2011,1,0,1,0.333333333
Sleep Breath,2008,5,48,7,0.024793388
Sleep Breath,2009,6,53,24,0.039215686
Sleep Breath,2010,2,50,4,0.005181347
Sleep Breath,2011,6,100,6,0.013452915
Sleep Breath,2012,9,142,24,0.063973064
Sleep Breath,2013,6,154,22,0.051851852
Sleep Breath,2014,2,107,2,0.001886792
Sleep Breath,2015,6,174,9,0.008445946
Sleep Med Rev,2001,2,40,3,0.011627907
Sleep Med Rev,2002,5,29,19,0.017241379
Sleep Med Rev,2003,6,25,13,0.014925373
Sleep Med Rev,2004,7,23,58,0.128205128
Sleep Med Rev,2005,9,23,14,0.037037037
Sleep Med Rev,2006,8,22,17,0.018867925
Sleep Med Rev,2007,7,25,10,0.038216561
Sleep Med Rev,2008,4,28,12,0.032051282
Sleep Med Rev,2010,9,29,28,0.049382716
Sleep Med Rev,2011,2,37,3,0.01744186
Sleep Med Rev,2012,6,36,8,0.033898305
Sleep Med Rev,2013,3,42,4,0.021505376
Sleep Med Rev,2014,2,46,9,0.045918367
Sleep Med.,2005,9,74,11,0.004901961
Sleep Med.,2006,15,78,40,0.023866348
Sleep Med.,2007,16,100,28,0.01946472
Sleep Med.,2008,7,111,19,0.021978022
Sleep Med.,2009,15,166,22,0.02004008
Sleep Med.,2010,11,144,15,0.009538951
Sleep Med.,2011,9,161,15,0.008415147
Sleep Med.,2012,9,192,12,0.01283697
Sleep Med.,2013,8,207,19,0.01489118
Sleep Med.,2014,3,234,5,0.005434783
Sleep Med.,2015,7,225,10,0.008064516
Sleep,1999,27,80,98,0.019503546
Sleep,2000,15,114,47,0.011029412
Sleep,2001,21,69,69,0.024
Sleep,2002,16,80,30,0.02247191
Sleep,2003,22,107,77,0.028697572
Sleep,2004,32,141,86,0.058704453
Sleep,2005,27,126,56,0.037102473
Sleep,2006,18,146,42,0.013024602
Sleep,2007,31,158,106,0.043147208
Sleep,2008,19,166,58,0.01946472
Sleep,2009,16,173,29,0.0124533
Sleep,2010,14,198,19,0.006369427
Sleep,2011,12,208,30,0.020987654
Sleep,2012,12,180,41,0.029550827
Sleep,2013,12,204,28,0.019406393
Sleep,2014,9,189,14,0.010649627
Sleep,2015,1,203,1,0.001049318
Small Rumin. Res.,2001,3,91,4,0.037037037
Small,2006,114,102,418,0.960227273
Small,2007,123,157,377,0.441624365
Small,2008,131,188,343,0.26035503
Small,2009,175,208,610,0.333667335
Small,2010,162,228,509,0.242951907
Small,2011,138,288,373,0.156521739
Small,2012,147,310,349,0.168407311
Small,2013,110,378,228,0.107121484
Small,2014,165,415,295,0.137485971
Small,2015,148,540,251,0.102836879
Soc Cogn Affect Neurosci,2011,1,70,1,0.00591716
Soc Cogn Affect Neurosci,2014,2,248,3,0.005813953
Soc Cogn Affect Neurosci,2015,2,212,4,0.005474453
Soc Networks,2009,1,3,1,0.2
Soc Neurosci,2009,2,40,4,0.010752688
Soc Neurosci,2011,3,48,3,0.013793103
Soc Psychiatry Psychiatr Epidemiol,2000,1,78,1,0.003144654
Soc Psychiatry Psychiatr Epidemiol,2002,1,84,1,0.002754821
Soc Psychiatry Psychiatr Epidemiol,2003,2,100,3,0.002906977
Soc Psychiatry Psychiatr Epidemiol,2007,1,136,2,0.001960784
Soc Psychiatry Psychiatr Epidemiol,2015,1,181,1,0.001360544
Soc Sci Med,2000,5,279,8,0.001569859
Soc Sci Med,2008,5,437,6,0.000537924
Soc Sci Med,2012,1,546,1,0.000506073
Soc Sci Med,2014,1,543,1,0.000484731
Soc Secur Bull,2001,1,23,1,0.014285714
Soc Stud Sci,2014,1,40,1,0.02
Soft Matter,2008,8,4,46,22
Soft Matter,2009,3,10,9,0.153846154
Soft Matter,2010,14,16,58,0.730769231
Soft Matter,2011,5,20,12,0.089285714
Soft Matter,2012,21,25,51,0.3625
Soft Matter,2013,15,59,36,0.210526316
Soft Matter,2014,73,901,99,0.48
Soft Matter,2015,80,869,111,0.062388592
Soft Robot,2015,1,3,5,4
Soil Sci Soc Am J,2003,1,0,2,0.25
Solid State Electron,2012,1,2,1,0.25
Solid State Nucl Magn Reson,2001,3,18,89,0.003676471
Solid State Nucl Magn Reson,2002,3,38,40,0.004672897
Solid State Nucl Magn Reson,2005,5,54,6,0.017647059
Solid State Nucl Magn Reson,2006,12,50,20,0.019047619
Solid State Nucl Magn Reson,2009,4,60,5,0.009756098
Solid State Nucl Magn Reson,2010,2,22,3,0.009615385
Solid State Nucl Magn Reson,2011,4,31,4,0.011904762
Solid State Nucl Magn Reson,2012,3,42,3,0.01183432
Solid State Nucl Magn Reson,2015,2,65,2,0.006944444
Somat. Cell Mol. Genet.,1999,2,30,2,0.00591716
Somatosens Mot Res,2005,2,26,13,0.044247788
Somatosens Mot Res,2008,1,16,6,0.047619048
Somatosens Mot Res,2009,1,9,3,0.024096386
Somatosens Mot Res,2011,1,10,3,0.045454545
South. Med. J.,1999,13,208,29,0.004520796
South. Med. J.,2000,5,247,16,0.002873563
South. Med. J.,2001,5,196,5,0.001939864
South. Med. J.,2002,12,231,29,0.001011122
South. Med. J.,2003,11,232,17,0.007575758
South. Med. J.,2004,8,261,9,0.004393673
South. Med. J.,2005,14,209,47,0.012479201
South. Med. J.,2006,12,270,16,0.004662005
South. Med. J.,2007,4,246,5,0.000706714
South. Med. J.,2008,7,222,11,0.003369272
South. Med. J.,2009,4,260,5,0.001292825
South. Med. J.,2010,4,243,9,0.003658537
South. Med. J.,2011,3,163,5,0.002549395
South. Med. J.,2012,2,121,4,0.000713776
South. Med. J.,2014,3,161,16,0.012443439
Southeast Asian J. Trop. Med. Public Health,2011,2,179,2,0.001510574
Southeast Asian J. Trop. Med. Public Health,2014,3,199,3,0.004470939
Spat Vis,1999,2,23,6,0.02173913
Spat Vis,2003,1,19,2,0.00952381
Spectrochim Acta A Mol Biomol Spectrosc,1999,6,11,11,0.035714286
Spectrochim Acta A Mol Biomol Spectrosc,2000,15,259,40,0.084337349
Spectrochim Acta A Mol Biomol Spectrosc,2001,25,243,48,0.038888889
Spectrochim Acta A Mol Biomol Spectrosc,2002,24,284,49,0.016806723
Spectrochim Acta A Mol Biomol Spectrosc,2003,33,309,69,0.026077098
Spectrochim Acta A Mol Biomol Spectrosc,2004,42,399,70,0.020050125
Spectrochim Acta A Mol Biomol Spectrosc,2005,43,550,70,0.012481645
Spectrochim Acta A Mol Biomol Spectrosc,2006,34,457,53,0.007701422
Spectrochim Acta A Mol Biomol Spectrosc,2007,33,605,59,0.012306046
Spectrochim Acta A Mol Biomol Spectrosc,2008,50,619,73,0.013382557
Spectrochim Acta A Mol Biomol Spectrosc,2009,37,577,46,0.010860485
Spectrochim Acta A Mol Biomol Spectrosc,2010,29,482,36,0.008285004
Spectrochim Acta A Mol Biomol Spectrosc,2011,59,812,100,0.027115859
Spectrochim Acta A Mol Biomol Spectrosc,2012,60,946,74,0.017991004
Spectrochim Acta A Mol Biomol Spectrosc,2013,42,1003,58,0.014632524
Spectrochim Acta A Mol Biomol Spectrosc,2014,58,1407,67,0.015697674
Spectrochim Acta A Mol Biomol Spectrosc,2015,58,1564,66,0.010461678
Speech Commun,2007,1,1,1,0.5
Speech Commun,2009,3,2,6,0.166666667
Speech Commun,2010,1,3,4,0.363636364
Speech Commun,2011,2,4,63,3.571428571
Speech Commun,2012,1,1,4,0.222222222
Spinal Cord,1999,8,130,13,0.007371007
Spinal Cord,2000,16,106,57,0.027075812
Spinal Cord,2001,9,102,17,0.010238908
Spinal Cord,2002,9,88,45,0.018348624
Spinal Cord,2003,12,92,60,0.009881423
Spinal Cord,2004,8,100,40,0.010548523
Spinal Cord,2005,9,102,26,0.019396552
Spinal Cord,2006,11,117,18,0.012711864
Spinal Cord,2007,9,103,12,0.002040816
Spinal Cord,2008,7,136,8,0.006097561
Spinal Cord,2009,10,135,12,0.007532957
Spinal Cord,2010,6,143,7,0.010471204
Spinal Cord,2011,8,181,10,0.006568144
Spinal Cord,2012,6,153,8,0.00284495
Spinal Cord,2013,8,162,13,0.009549795
Spinal Cord,2014,4,187,9,0.009138381
Spinal Cord,2015,2,166,2,0.00122399
Spine J,2009,14,175,37,0.027881041
Spine J,2010,5,176,6,0.006299213
Spine J,2011,10,196,31,0.031700288
Spine J,2012,4,198,5,0.005102041
Spine J,2013,5,313,8,0.004705882
Spine J,2014,11,431,13,0.011434511
Spine J,2015,3,507,7,0.001620746
Spine,1999,68,324,289,0.011098779
Spine,2000,80,413,483,0.051801802
Spine,2001,84,449,511,0.05013624
Spine,2002,91,428,440,0.074923547
Spine,2003,89,459,470,0.078773585
Spine,2004,85,423,378,0.063932981
Spine,2005,92,507,555,0.117724289
Spine,2006,78,573,248,0.040790039
Spine,2007,40,576,90,0.018867925
Spine,2008,44,577,105,0.014325507
Spine,2009,40,582,141,0.027565084
Spine,2010,34,619,81,0.018889309
Spine,2011,28,597,67,0.012034599
Spine,2012,16,551,21,0.004506196
Spine,2013,7,578,7,0.002693344
Spine,2014,5,546,7,0.001172333
Spine,2015,2,453,2,0.000407166
Sports Biomech,2010,1,24,1,0.008849558
Sports Biomech,2012,1,42,1,0.008474576
Sports Biomech,2015,1,36,1,0.006896552
Sports Med Arthrosc Rev,2008,5,32,22,0.2
Sports Med Arthrosc Rev,2009,2,30,2,0.009708738
Sports Med,2000,10,53,19,0.019230769
Sports Med,2002,6,58,8,0.003802281
Sports Med,2003,10,63,40,0.029962547
Sports Med,2004,10,59,18,0.003623188
Sports Med,2005,5,55,11,0.014285714
Sports Med,2006,8,58,11,0.003731343
Sports Med,2007,12,93,15,0.014869888
Sports Med,2008,5,61,8,0.003322259
Sports Med,2009,7,52,12,0.026666667
Sports Med,2010,3,53,7,0.02006689
Sports Med,2011,6,55,9,0.02027027
Sports Med,2012,2,62,2,0.003952569
Sports Med,2013,2,90,3,0.011904762
Sports Med,2014,4,133,4,0.013793103
Sports Med,2015,2,126,2,0.005277045
Springer Semin. Immunopathol.,1999,10,22,47,0.117647059
Springer Semin. Immunopathol.,2000,15,17,85,0.319148936
Springer Semin. Immunopathol.,2001,4,24,6,0.033783784
Springer Semin. Immunopathol.,2002,4,18,6,0.014492754
Springer Semin. Immunopathol.,2003,9,16,52,0.131578947
Springer Semin. Immunopathol.,2004,10,15,35,0.186915888
Springer Semin. Immunopathol.,2005,17,27,63,0.257425743
Springer Semin. Immunopathol.,2006,16,31,37,0.169491525
Springerplus,2015,23,869,34,0.016005122
Srp Arh Celok Lek,2010,2,146,18,0.025793651
Srp Arh Celok Lek,2013,1,140,1,0.001801802
Stand Genomic Sci,2011,7,74,22,0.098360656
Stand Genomic Sci,2012,10,59,15,0.064039409
Stand Genomic Sci,2013,3,90,6,0.007352941
Stand Genomic Sci,2015,5,81,5,0.01183432
Stat Appl Genet Mol Biol,2007,3,33,3,0.008928571
Stat Appl Genet Mol Biol,2008,5,43,5,0.014285714
Stat Appl Genet Mol Biol,2009,3,44,3,0.013071895
Stat Appl Genet Mol Biol,2010,2,40,2,0.012269939
Stat Appl Genet Mol Biol,2012,3,63,3,0.011428571
Stat Appl Genet Mol Biol,2013,1,42,1,0.005208333
Stat Appl Genet Mol Biol,2015,1,38,1,0.005376344
Stat Comput,2015,1,4,1,0.2
Stat Interface,2012,1,7,1,0.020833333
Stat Med,1999,17,234,31,0.01216545
Stat Med,2000,10,233,18,0.005727377
Stat Med,2001,10,240,25,0.004343105
Stat Med,2002,17,232,21,0.004032258
Stat Med,2003,16,230,31,0.004739336
Stat Med,2004,16,216,34,0.004775549
Stat Med,2005,16,239,19,0.007684918
Stat Med,2006,10,258,25,0.008637236
Stat Med,2007,10,338,18,0.005633803
Stat Med,2008,15,384,66,0.01787234
Stat Med,2009,11,226,15,0.002965159
Stat Med,2010,9,267,13,0.003748126
Stat Med,2011,7,262,10,0.005231689
Stat Med,2012,3,331,3,0.001587302
Stat Med,2013,9,369,10,0.00673968
Stat Med,2014,2,356,8,0.005279035
Stat Med,2015,2,272,2,0.001416431
Stat Methods Med Res,2003,2,28,2,0.018691589
Stat Methods Med Res,2008,2,36,5,0.00877193
Stat Methods Med Res,2009,1,31,1,0.007518797
Stat Methods Med Res,2012,1,32,2,0.012903226
Stat Methods Med Res,2014,1,35,2,0.00625
Stat Sci,2010,1,7,2,0.111111111
Stat Sin,2012,2,13,3,0.055555556
Stat Sin,2014,1,14,1,0.019607843
Stem Cell Reports,2014,66,106,175,2.618181818
Stem Cell Reports,2015,64,130,133,0.463519313
Stem Cell Res Ther,2011,16,25,32,0.475
Stem Cell Res Ther,2012,16,38,28,0.247191011
Stem Cell Res Ther,2013,58,118,82,0.410958904
Stem Cell Res Ther,2014,44,99,72,0.178461538
Stem Cell Res Ther,2015,40,220,64,0.130232558
Stem Cell Res,2009,18,20,64,1.833333333
Stem Cell Res,2010,18,24,91,0.71875
Stem Cell Res,2011,20,28,37,0.212962963
Stem Cell Res,2012,21,44,93,0.482014388
Stem Cell Res,2013,30,84,96,0.348484848
Stem Cell Res,2014,38,90,63,0.183823529
Stem Cell Res,2015,21,98,34,0.086834734
Stem Cell Rev,2006,19,24,82,0.875
Stem Cell Rev,2007,19,13,75,0.336956522
Stem Cell Rev,2008,13,19,29,0.120967742
Stem Cells Dev.,2005,40,35,174,0.779220779
Stem Cells Dev.,2006,41,47,141,0.446540881
Stem Cells Dev.,2007,43,49,190,0.343873518
Stem Cells Dev.,2008,47,61,160,0.252873563
Stem Cells Dev.,2009,75,73,218,0.313471503
Stem Cells Dev.,2010,74,107,207,0.259825328
Stem Cells Dev.,2011,59,133,110,0.120218579
Stem Cells Dev.,2012,94,208,238,0.192604006
Stem Cells Dev.,2013,80,223,164,0.135933806
Stem Cells Dev.,2014,53,217,89,0.062811565
Stem Cells Dev.,2015,40,202,84,0.057481752
Stem Cells Int,2013,15,47,22,0.071428571
Stem Cells Int,2014,12,29,20,0.055147059
Stem Cells Int,2015,24,144,32,0.068493151
Stem Cells Transl Med,2013,38,68,113,0.728971963
Stem Cells Transl Med,2014,42,115,104,0.397260274
Stem Cells Transl Med,2015,44,113,75,0.154450262
Stem Cells,1999,22,24,105,0.055441478
Stem Cells,2000,37,29,653,0.762886598
Stem Cells,2001,42,18,356,0.338068182
Stem Cells,2002,35,27,282,0.251724138
Stem Cells,2003,49,23,501,0.596078431
Stem Cells,2004,90,43,1013,1.367491166
Stem Cells,2005,114,56,961,1.113043478
Stem Cells,2006,202,101,1157,1.022026432
Stem Cells,2007,223,139,1404,0.954220315
Stem Cells,2008,211,123,1059,0.485943775
Stem Cells,2009,170,136,616,0.291286307
Stem Cells,2010,104,107,377,0.149408284
Stem Cells,2011,98,108,288,0.131537242
Stem Cells,2012,113,160,235,0.135577798
Stem Cells,2013,81,178,226,0.160349854
Stem Cells,2014,68,216,140,0.112139918
Stem Cells,2015,73,234,129,0.093269231
Stereotact Funct Neurosurg,1999,5,92,6,0.009771987
Stereotact Funct Neurosurg,2000,3,37,7,0.006134969
Stereotact Funct Neurosurg,2001,9,61,27,0.055172414
Stereotact Funct Neurosurg,2002,5,38,7,0.007220217
Stereotact Funct Neurosurg,2004,2,37,2,0.005
Stereotact Funct Neurosurg,2005,4,34,21,0.06122449
Stereotact Funct Neurosurg,2006,2,32,2,0.012345679
Stereotact Funct Neurosurg,2007,7,32,41,0.058441558
Stereotact Funct Neurosurg,2008,8,46,58,0.033112583
Stereotact Funct Neurosurg,2009,2,50,24,0.034883721
Stereotact Funct Neurosurg,2010,2,54,2,0.005347594
Stereotact Funct Neurosurg,2011,4,47,8,0.014354067
Stereotact Funct Neurosurg,2012,1,54,2,0.009009009
Stereotact Funct Neurosurg,2013,2,50,3,0.013513514
Stereotact Funct Neurosurg,2015,2,58,6,0.026548673
Steroids,1999,25,78,61,0.050549451
Steroids,2000,43,68,134,0.08372093
Steroids,2001,35,68,84,0.074941452
Steroids,2002,34,99,110,0.056603774
Steroids,2003,43,89,149,0.114035088
Steroids,2004,23,76,71,0.045738046
Steroids,2005,24,94,37,0.023305085
Steroids,2006,44,96,107,0.061601643
Steroids,2007,35,74,97,0.088888889
Steroids,2008,39,138,67,0.061310782
Steroids,2009,21,123,59,0.04
Steroids,2010,24,125,72,0.064013841
Steroids,2011,33,179,60,0.052631579
Steroids,2012,31,166,69,0.069364162
Steroids,2013,21,156,37,0.033566434
Steroids,2014,19,152,42,0.054886212
Steroids,2015,13,204,30,0.02987013
Strahlenther Onkol,2000,5,121,7,0.002962963
Strahlenther Onkol,2001,3,119,7,0.004636785
Strahlenther Onkol,2002,5,99,6,0.004580153
Strahlenther Onkol,2003,2,105,2,0.001795332
Strahlenther Onkol,2005,10,86,20,0.017738359
Strahlenther Onkol,2007,4,105,4,0.007142857
Strahlenther Onkol,2008,4,82,4,0.009411765
Strahlenther Onkol,2009,2,101,2,0.004854369
Strahlenther Onkol,2010,3,82,3,0.002392344
Strahlenther Onkol,2011,2,91,2,0.002457002
Strahlenther Onkol,2013,2,168,2,0.004048583
Strahlenther Onkol,2014,3,188,3,0.005328597
Strahlenther Onkol,2015,1,130,1,0.001485884
Stress,2005,3,23,3,0.007874016
Stress,2007,3,35,6,0.008695652
Stress,2008,2,43,3,0.008264463
Stress,2011,4,65,6,0.020100503
Stress,2012,1,68,1,0.004329004
Stress,2013,2,74,2,0.003952569
Stress,2014,1,56,1,0.003663004
Stroke,1999,85,334,203,0.026436782
Stroke,2000,97,328,316,0.047540077
Stroke,2001,105,325,375,0.036170213
Stroke,2002,98,360,265,0.039034412
Stroke,2003,85,419,280,0.047047528
Stroke,2004,105,416,285,0.028496274
Stroke,2005,105,397,299,0.039620305
Stroke,2006,80,402,228,0.037833532
Stroke,2007,100,363,261,0.042553191
Stroke,2008,87,372,208,0.042105263
Stroke,2009,84,602,204,0.042657916
Stroke,2010,69,465,138,0.023151606
Stroke,2011,61,547,103,0.025036819
Stroke,2012,32,556,51,0.015401146
Stroke,2013,37,623,51,0.010881011
Stroke,2014,28,598,36,0.010401722
Stroke,2015,17,576,25,0.00729927
Structure,1999,88,91,504,0.196917808
Structure,2000,70,77,206,0.086178862
Structure,2001,57,70,249,0.121359223
Structure,2002,60,121,608,0.116861436
Structure,2003,59,95,193,0.087636933
Structure,2004,77,124,231,0.14351145
Structure,2005,49,121,148,0.055925433
Structure,2006,64,107,211,0.075449102
Structure,2007,45,107,136,0.054245283
Structure,2008,61,119,174,0.077108434
Structure,2009,34,125,92,0.064918851
Structure,2010,42,139,85,0.052496799
Structure,2011,49,159,175,0.142487047
Structure,2012,49,184,163,0.114427861
Structure,2013,41,198,99,0.082524272
Structure,2014,23,181,71,0.064073227
Structure,2015,31,220,63,0.053932584
Stud Fam Plann,2014,1,30,3,0.024390244
Stud. Mycol.,2007,8,17,14,0.291666667
Stud. Mycol.,2010,1,4,14,0.05
Stud. Mycol.,2011,6,15,14,0.081967213
Stud. Mycol.,2012,3,3,7,0.087719298
Stud. Mycol.,2013,3,11,3,0.046511628
Stud. Mycol.,2014,4,9,17,0.282608696
Stud. Mycol.,2015,2,12,2,0.018181818
Subst Abuse Treat Prev Policy,2010,1,31,1,0.00877193
Subst Abuse Treat Prev Policy,2012,1,47,2,0.018181818
Subst Abuse Treat Prev Policy,2013,1,38,1,0.007462687
Subst Use Misuse,2000,1,91,2,0.002309469
Subst Use Misuse,2002,1,90,1,0.002403846
Suicide Life Threat Behav,2008,1,65,1,0.004132231
Suicide Life Threat Behav,2010,1,62,1,0.003663004
Support Care Cancer,1999,6,56,6,0.003058104
Support Care Cancer,2000,7,65,26,0.027863777
Support Care Cancer,2001,3,79,3,0.003039514
Support Care Cancer,2002,7,75,14,0.00887574
Support Care Cancer,2003,7,103,11,0.014619883
Support Care Cancer,2004,7,116,9,0.015584416
Support Care Cancer,2005,11,117,32,0.006944444
Support Care Cancer,2006,14,135,31,0.016701461
Support Care Cancer,2007,12,141,72,0.020220588
Support Care Cancer,2008,7,143,13,0.010118044
Support Care Cancer,2009,6,156,11,0.0128
Support Care Cancer,2010,8,196,16,0.01221374
Support Care Cancer,2011,12,218,24,0.014084507
Support Care Cancer,2012,9,381,11,0.008883249
Support Care Cancer,2013,9,382,14,0.011616651
Support Care Cancer,2014,4,360,4,0.00312989
Support Care Cancer,2015,7,392,10,0.004817619
Supramol Chem,2010,1,1,1,0.2
Surf Coat Technol,2012,2,2,2,0.666666667
Surf Interface Anal,2011,1,11,1,0.25
Surf Interface Anal,2013,1,16,1,0.0625
Surf Interface Anal,2014,1,17,1,0.032258065
Surg Endosc,1999,25,279,79,0.021023766
Surg Endosc,2000,18,309,101,0.013513514
Surg Endosc,2001,25,351,666,0.040656763
Surg Endosc,2002,28,427,138,0.01122807
Surg Endosc,2003,32,475,108,0.016791045
Surg Endosc,2004,20,367,70,0.005485464
Surg Endosc,2005,20,278,93,0.016958135
Surg Endosc,2006,23,339,448,0.070634038
Surg Endosc,2007,35,398,144,0.029876977
Surg Endosc,2008,17,415,79,0.020731707
Surg Endosc,2009,24,441,76,0.015222482
Surg Endosc,2010,23,460,37,0.010570825
Surg Endosc,2011,26,537,80,0.029741589
Surg Endosc,2012,19,490,30,0.00862852
Surg Endosc,2013,13,617,21,0.006164685
Surg Endosc,2014,10,434,15,0.004056795
Surg Endosc,2015,3,507,3,0.001257862
Surg Infect (Larchmt),2010,4,65,5,0.006734007
Surg Infect (Larchmt),2011,2,74,12,0.020979021
Surg Infect (Larchmt),2012,3,71,4,0.013029316
Surg Infect (Larchmt),2013,1,80,2,0.003174603
Surg Infect (Larchmt),2014,1,147,2,0.005830904
Surg Infect (Larchmt),2015,3,134,3,0.007109005
Surg Innov,2008,5,47,7,0.012345679
Surg Innov,2009,4,47,33,0.065
Surg Innov,2010,2,54,2,0.010204082
Surg Innov,2011,1,69,4,0.018867925
Surg Innov,2012,1,66,1,0.004149378
Surg Innov,2013,9,91,19,0.046875
Surg Innov,2014,1,82,3,0.003278689
Surg Innov,2015,4,79,6,0.008849558
Surg Laparosc Endosc Percutan Tech,2001,2,84,6,0.005555556
Surg Laparosc Endosc Percutan Tech,2002,6,83,86,0.014705882
Surg Laparosc Endosc Percutan Tech,2003,2,88,16,0.002710027
