Institution Name,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor,NIH Funding,Institution Type
University of California System,2008,2379,9938,14918,0.100955898,1723511523,Education
University of California System,2004,2442,8230,16678,0.093172712,1570741118,Education
University of California System,2009,2403,10541,12497,0.09303885,1770288140,Education
University of California System,2015,986,12947,2587,0.036341292,1837390879,Education
University of California System,2007,2428,9543,13366,0.092643423,1684268347,Education
University of California System,2011,2133,11451,9206,0.080093374,1769807497,Education
University of California System,2005,2487,8937,16611,0.097867221,1624315446,Education
University of California System,2006,2565,9126,15266,0.09654532,1620888401,Education
University of California System,2010,2392,10903,11918,0.095643709,1760729453,Education
University of California System,2002,2272,7323,17293,0.091507143,1260871824,Education
University of California System,2014,1260,12558,3893,0.052181874,1809918479,Education
University of California System,2013,1585,12519,6399,0.069420666,1743916452,Education
University of Chicago,2015,102,1448,358,0.05382577,170942228,Education
University of Chicago,2004,266,909,1826,0.121305577,178565653,Education
University of Chicago,2012,167,1300,684,0.060874277,186624901,Education
University of Chicago,2009,244,1100,1226,0.085213033,214137669,Education
University of Chicago,2003,202,766,1682,0.105443071,192968198,Education
University of Chicago,2013,142,1315,477,0.053806928,160450900,Education
University of Chicago,2007,219,1074,1109,0.072537758,205386589,Education
University of Chicago,2000,218,718,1217,0.061183836,118902949,Education
University of Chicago,2002,220,783,1414,0.079047103,141171752,Education
University of Chicago,2001,222,738,1421,0.070634038,128957553,Education
University of Chicago,2005,266,977,1692,0.113449444,194716584,Education
University of Chicago,2011,208,1188,826,0.072981939,196393321,Education
University of Chicago,2006,267,1026,1466,0.070441676,190198210,Education
University of Chicago,2008,248,1075,1181,0.085668853,208417096,Education
University of Chicago,2014,136,1373,389,0.055660216,176873872,Education
University of Chicago,2010,250,1163,1217,0.101153337,198347015,Education
University of Colorado System,2003,260,956,1462,0.066696309,214367413,Education
University of Colorado System,2013,210,1723,683,0.061513735,226174842,Education
University of Colorado System,2007,218,1137,1035,0.055449695,222198991,Education
University of Colorado System,2012,201,1684,898,0.082618862,222673924,Education
University of Colorado System,2001,255,965,1590,0.056163384,174791494,Education
University of Colorado System,2005,256,1074,1586,0.076171079,227094186,Education
University of Colorado System,2000,232,878,1694,0.068389058,157725076,Education
University of Colorado System,2006,243,1138,1093,0.059116242,223491982,Education
University of Colorado System,2004,254,1032,1660,0.09179357,230886828,Education
University of Colorado System,2008,243,1217,1171,0.064240624,218904962,Education
University of Colorado System,2010,255,1283,1369,0.077504726,211303902,Education
University of Colorado System,2009,285,1285,1455,0.085370237,220315581,Education
University of Colorado System,2014,129,1796,346,0.034573365,232993480,Education
University of Colorado System,2015,91,1919,365,0.028541909,233919176,Education
University of Colorado System,2002,249,906,1488,0.057519058,200773312,Education
University of Colorado System,2011,239,1537,914,0.067836257,221205210,Education
University of Connecticut,2007,80,427,243,0.049317943,74209043,Education
University of Connecticut,2003,72,342,478,0.088369071,71074831,Education
University of Connecticut,2000,59,321,296,0.052083333,43331604,Education
University of Connecticut,2014,35,556,81,0.024499796,67888422,Education
University of Connecticut,2004,87,374,444,0.054138146,75220449,Education
University of Connecticut,2009,71,510,222,0.040904716,72024184,Education
University of Connecticut,2015,35,639,54,0.022664016,70754390,Education
University of Connecticut,2012,65,585,200,0.042982456,69368088,Education
University of Connecticut,2013,43,583,115,0.0267335,66343348,Education
University of Connecticut,2008,72,465,289,0.049975012,73509734,Education
University of Connecticut,2011,52,531,135,0.031731641,63612799,Education
University of Connecticut,2002,77,358,355,0.059752747,64034456,Education
University of Connecticut,2010,72,486,249,0.049226442,62913960,Education
University of Connecticut,2006,76,412,334,0.035617917,76806916,Education
University of Connecticut,2001,48,323,342,0.061195104,52851450,Education
University of Connecticut,2005,98,432,855,0.079740106,76935853,Education
University of Dayton,2004,4,14,32,0.230769231,647492,Education
University of Dayton,2011,2,36,2,0.058823529,1013623,Education
University of Dayton,2007,4,22,134,0.038461538,656030,Education
University of Dayton,2000,4,10,21,0.028169014,309244,Education
University of Dayton,2002,2,13,8,0.029850746,167231,Education
University of Dayton,2006,6,18,45,0.246376812,472382,Education
University of Dayton,2012,4,33,6,0.03030303,341127,Education
University of Dayton,2010,5,25,10,0.035714286,691968,Education
University of Dayton,2008,9,26,53,0.125,538701,Education
University of Dayton,2009,8,19,63,0.150442478,690883,Education
University of Dayton,2013,3,26,19,0.051851852,323796,Education
University of Dayton,2005,10,18,31,0.196428571,494150,Education
University of Delaware,2015,19,367,39,0.023432116,25087089,Education
University of Delaware,2003,50,166,221,0.065967016,24962680,Education
University of Delaware,2006,49,249,160,0.036290323,23806938,Education
University of Delaware,2009,56,232,182,0.0528,25613250,Education
University of Delaware,2004,66,200,294,0.086321381,22833669,Education
University of Delaware,2005,60,241,288,0.056647399,21015492,Education
University of Delaware,2008,64,282,349,0.119006849,23779793,Education
University of Delaware,2000,40,114,239,0.115537849,11532015,Education
University of Delaware,2013,53,333,173,0.092085236,20206081,Education
University of Delaware,2002,49,158,260,0.110561056,22509954,Education
University of Delaware,2012,46,316,132,0.065535852,21588353,Education
University of Delaware,2010,43,271,99,0.040387722,25746591,Education
University of Delaware,2011,49,292,262,0.073190135,23066509,Education
University of Delaware,2014,38,315,107,0.053900709,26779335,Education
University of Delaware,2001,34,138,187,0.092250923,14682586,Education
University of Delaware,2007,51,251,286,0.064635272,23267489,Education
University of Denver,2012,4,70,8,0.009389671,2712759,Education
University of Denver,2006,11,37,20,0.043165468,4315011,Education
University of Denver,2011,11,62,21,0.065934066,4690221,Education
University of Denver,2010,5,43,22,0.054945055,5477880,Education
University of Denver,2004,5,27,20,0.048387097,3393695,Education
University of Denver,2008,5,38,25,0.035928144,5965507,Education
University of Denver,2015,1,54,1,0.026119403,3632342,Education
University of Denver,2009,5,44,13,0.039325843,5179938,Education
University of Denver,2002,5,30,9,0.018867925,5117319,Education
University of Denver,2005,6,38,42,0.069767442,3914976,Education
University of Denver,2013,2,54,6,0.004081633,3165394,Education
University of Denver,2014,2,61,5,0.031746032,4088286,Education
University of Denver,2007,5,37,9,0.026315789,4823976,Education
University of Hawaii System,2013,22,462,75,0.021405049,37405793,Education
University of Hawaii System,2006,34,285,148,0.047420965,45975121,Education
University of Hawaii System,2009,30,378,71,0.026170799,44613005,Education
University of Hawaii System,2012,30,480,62,0.02042007,51778456,Education
University of Hawaii System,2011,36,441,200,0.05681124,47977246,Education
University of Hawaii System,2004,35,296,222,0.039814815,50861869,Education
University of Hawaii System,2008,24,378,94,0.033285094,57329133,Education
University of Hawaii System,2002,34,211,140,0.029350105,42830540,Education
University of Hawaii System,2003,39,255,169,0.047082907,46462389,Education
University of Hawaii System,2015,11,469,21,0.010632911,42863236,Education
University of Hawaii System,2005,39,287,171,0.042350908,70285955,Education
University of Hawaii System,2001,37,243,174,0.05011655,35459096,Education
University of Hawaii System,2000,40,215,147,0.040660737,30329002,Education
University of Hawaii System,2007,32,369,98,0.028996865,60682305,Education
University of Hawaii System,2014,24,450,45,0.019432773,43208816,Education
University of Hawaii System,2010,36,379,150,0.044270833,52906890,Education
University of Houston System,2008,40,249,183,0.07244898,14842981,Education
University of Houston System,2015,27,387,44,0.028446389,19479616,Education
University of Houston System,2010,45,259,192,0.06795225,14106267,Education
University of Houston System,2003,31,165,126,0.05351682,16350383,Education
University of Houston System,2009,28,232,97,0.036245353,14949676,Education
University of Houston System,2006,35,219,132,0.047204969,14335655,Education
University of Houston System,2011,50,306,128,0.052539405,14507682,Education
University of Houston System,2005,42,204,231,0.055330634,11445646,Education
University of Houston System,2004,41,153,387,0.085553997,15470901,Education
University of Houston System,2007,52,229,185,0.053691275,13135369,Education
University of Houston System,2001,28,153,156,0.074211503,12604719,Education
University of Houston System,2012,32,316,58,0.033717105,15978803,Education
University of Houston System,2000,21,146,83,0.042,9658818,Education
University of Houston System,2014,23,272,50,0.025399129,16598647,Education
University of Houston System,2013,36,325,77,0.037676609,15150338,Education
University of Houston System,2002,28,136,192,0.05033557,14184155,Education
University of Idaho,2010,13,88,25,0.0302267,7207836,Education
University of Idaho,2015,1,67,1,0.002906977,7308926,Education
University of Idaho,2002,11,41,65,0.048979592,10577334,Education
University of Idaho,2009,10,76,14,0.017326733,8923236,Education
University of Idaho,2008,13,85,98,0.06234414,8230785,Education
University of Idaho,2006,20,78,70,0.072727273,10384645,Education
University of Idaho,2003,21,63,53,0.035856574,9774503,Education
University of Idaho,2001,15,59,66,0.054794521,4576857,Education
University of Idaho,2011,14,90,51,0.055,7071010,Education
University of Idaho,2005,17,77,63,0.025806452,9084530,Education
University of Idaho,2000,17,52,78,0.079365079,3030798,Education
University of Idaho,2013,5,74,5,0.012919897,5595851,Education
University of Idaho,2007,21,92,62,0.034852547,7780839,Education
University of Idaho,2012,8,87,12,0.017902813,6663827,Education
University of Idaho,2014,2,62,2,0.007915567,6578436,Education
University of Idaho,2004,21,75,61,0.06360424,9894106,Education
University of Illinois System,2006,419,1670,2112,0.099834528,194749058,Education
University of Illinois System,2005,413,1559,2713,0.101831502,193283492,Education
University of Illinois System,2014,208,2090,500,0.038268507,168972628,Education
University of Illinois System,2015,147,2134,309,0.029748993,156776450,Education
University of Illinois System,2011,341,2005,1395,0.090358001,203438849,Education
University of Illinois System,2008,393,1658,2804,0.104074074,188948788,Education
University of Illinois System,2002,366,1292,1917,0.068989307,153307115,Education
University of Illinois System,2009,384,1868,2108,0.087961283,204258725,Education
University of Illinois System,2000,316,1136,2853,0.073523951,122796817,Education
University of Illinois System,2012,315,2129,1314,0.077598666,200668842,Education
University of Illinois System,2010,406,1857,2026,0.096012162,206582185,Education
University of Illinois System,2013,288,2109,951,0.062446718,192191487,Education
University of Illinois System,2004,410,1488,2638,0.112678264,189885344,Education
University of Illinois System,2007,400,1701,2117,0.092541976,199068125,Education
University of Illinois System,2001,355,1193,2229,0.07103139,138972087,Education
University of Illinois System,2003,398,1291,2599,0.096216569,184081245,Education
University of Iowa,2005,186,891,1330,0.066364287,166119755,Education
University of Iowa,2009,157,843,707,0.049120402,169175021,Education
University of Iowa,2011,133,932,703,0.076145711,162719869,Education
University of Iowa,2007,176,908,906,0.067367415,169489549,Education
University of Iowa,2014,80,1034,216,0.031124048,149626530,Education
University of Iowa,2002,230,887,1967,0.083929423,147307294,Education
University of Iowa,2000,250,797,2770,0.11220567,119787121,Education
University of Iowa,2015,54,1040,94,0.021405405,145698338,Education
University of Iowa,2006,173,905,673,0.045508414,170649989,Education
University of Iowa,2003,199,782,1483,0.070794393,174459490,Education
University of Iowa,2001,234,810,1480,0.057332386,139479562,Education
University of Iowa,2010,123,908,441,0.044377323,169322643,Education
University of Iowa,2013,113,1090,273,0.034669811,151386871,Education
University of Iowa,2008,150,957,703,0.063532697,172427797,Education
University of Iowa,2012,117,995,338,0.042286794,176582352,Education
University of Iowa,2004,219,810,1370,0.069695528,167731874,Education
University of Kansas,2011,48,397,214,0.057392389,90305127,Education
University of Kansas,2006,56,261,362,0.072298326,67266074,Education
University of Kansas,2015,16,430,48,0.018656716,71596655,Education
University of Kansas,2010,48,352,193,0.046113307,89551209,Education
University of Kansas,2002,55,254,292,0.068359375,62042477,Education
University of Kansas,2005,63,322,364,0.052969502,65017569,Education
University of Kansas,2012,67,410,227,0.073546856,89543698,Education
University of Kansas,2003,52,257,265,0.053508772,66687613,Education
University of Kansas,2008,57,344,365,0.069666183,83494197,Education
University of Kansas,2014,37,406,82,0.033112583,88317789,Education
University of Kansas,2009,49,378,175,0.044836957,87577475,Education
University of Kansas,2004,43,265,225,0.033222591,62989375,Education
University of Kansas,2007,69,295,461,0.099092284,75968515,Education
University of Kansas,2000,49,216,440,0.055012225,43628711,Education
University of Kansas,2013,52,418,114,0.043700341,75146388,Education
University of Kansas,2001,54,263,258,0.035555556,52907831,Education
University of Kentucky,2003,134,593,862,0.064213815,76166552,Education
University of Kentucky,2007,149,742,765,0.061129978,82901668,Education
University of Kentucky,2012,103,932,311,0.042377261,85276152,Education
University of Kentucky,2006,156,702,853,0.059437243,86082832,Education
University of Kentucky,2011,102,921,278,0.042125034,85657745,Education
University of Kentucky,2004,135,606,674,0.06109215,85758344,Education
University of Kentucky,2015,34,869,52,0.012167867,95143829,Education
University of Kentucky,2002,176,610,1073,0.068940227,68699793,Education
University of Kentucky,2000,161,545,662,0.062283737,58891293,Education
University of Kentucky,2010,131,822,457,0.047094464,85899595,Education
University of Kentucky,2009,125,785,495,0.038312049,89256023,Education
University of Kentucky,2005,166,724,830,0.064537815,83411657,Education
University of Kentucky,2013,85,893,222,0.034866094,77613416,Education
University of Kentucky,2008,135,809,767,0.055294118,86203215,Education
University of Kentucky,2014,71,827,135,0.027956457,87844204,Education
University of Kentucky,2001,147,556,834,0.063837777,62843113,Education
University of Louisiana System,2015,7,119,16,0.015463918,1584845,Education
University of Louisiana System,2012,13,126,19,0.026745914,2868252,Education
University of Louisiana System,2000,15,69,86,0.067357513,2962839,Education
University of Louisiana System,2008,19,138,69,0.047169811,1685118,Education
University of Louisiana System,2005,43,135,240,0.197211155,10115743,Education
University of Louisiana System,2002,24,114,88,0.054237288,4305018,Education
University of Louisiana System,2013,9,140,19,0.015243902,2604182,Education
University of Louisiana System,2010,26,144,80,0.050691244,1877441,Education
University of Louisiana System,2007,27,123,130,0.041254125,1933056,Education
University of Louisiana System,2006,44,134,151,0.061837456,3577295,Education
University of Louisiana System,2003,25,94,162,0.076726343,5065171,Education
University of Louisiana System,2009,21,143,68,0.046616541,2295023,Education
University of Louisiana System,2001,18,96,144,0.12173913,1911676,Education
University of Louisiana System,2011,23,156,50,0.046656299,2477349,Education
University of Louisiana System,2014,8,101,12,0.012461059,332977,Education
University of Louisiana System,2004,28,101,182,0.076586433,4599370,Education
University of Louisville,2011,99,544,314,0.064368771,51431252,Education
University of Louisville,2015,25,571,40,0.013229572,51533785,Education
University of Louisville,2006,105,474,602,0.073110893,51481580,Education
University of Louisville,2005,104,451,569,0.091575092,75587609,Education
University of Louisville,2007,92,506,425,0.073080481,50714917,Education
University of Louisville,2009,86,498,345,0.054170249,56317980,Education
University of Louisville,2002,80,376,464,0.044052863,34472431,Education
University of Louisville,2014,48,514,105,0.024568138,46241241,Education
University of Louisville,2003,64,425,487,0.058132707,43677904,Education
University of Louisville,2013,62,588,130,0.033162258,47383635,Education
University of Louisville,2001,66,363,282,0.028457975,27743480,Education
University of Louisville,2012,84,574,236,0.048413344,50508359,Education
University of Louisville,2008,115,469,556,0.088066931,54327316,Education
University of Louisville,2010,94,532,301,0.057724958,48195355,Education
University of Louisville,2000,78,331,487,0.049964814,20760542,Education
University of Louisville,2004,87,440,403,0.058003346,49273536,Education
University of Maine System,2009,7,88,20,0.116477273,3486719,Education
University of Maine System,2011,3,73,4,0.010723861,1812003,Education
University of Maine System,2008,10,69,23,0.023460411,2284132,Education
University of Maine System,2005,6,82,12,0.02189781,2729989,Education
University of Maine System,2000,6,39,13,0.016483516,136190,Education
University of Maine System,2006,8,77,126,0.04040404,2290586,Education
University of Maine System,2015,3,69,3,0.006116208,801463,Education
University of Maine System,2010,6,95,24,0.022346369,2280454,Education
University of Maine System,2012,3,77,6,0.014245014,2235798,Education
University of Maine System,2007,5,92,29,0.035483871,549049,Education
University of Maine System,2013,5,78,5,0.008522727,1411744,Education
University of Maine System,2001,7,59,20,0.02688172,882594,Education
University of Maine System,2004,6,62,11,0.007968127,1676940,Education
University of Maine System,2014,1,83,1,0.002941176,995514,Education
University of Maine System,2003,8,59,18,0.030973451,1144301,Education
University of Maine System,2002,7,66,18,0.009708738,1166249,Education
University of Massachusetts System,2010,204,982,777,0.070151307,178964013,Education
University of Massachusetts System,2006,226,814,1211,0.087381431,130570092,Education
University of Massachusetts System,2015,85,1112,246,0.035411855,160477381,Education
University of Massachusetts System,2009,210,933,979,0.077818182,159239148,Education
University of Massachusetts System,2003,184,626,1765,0.110433387,116134998,Education
University of Massachusetts System,2007,193,819,868,0.05809575,144982833,Education
University of Massachusetts System,2008,229,896,1242,0.091789903,146328232,Education
University of Massachusetts System,2013,133,1181,435,0.051908084,158659306,Education
University of Massachusetts System,2004,230,698,1328,0.101000625,124145967,Education
University of Massachusetts System,2001,180,615,2320,0.129263914,96461606,Education
University of Massachusetts System,2005,209,699,1352,0.099107143,133263892,Education
University of Massachusetts System,2000,176,588,1897,0.097101995,89301292,Education
University of Massachusetts System,2002,173,637,2112,0.147711978,106129252,Education
University of Massachusetts System,2012,158,1177,425,0.052259584,165884751,Education
University of Massachusetts System,2011,167,995,596,0.053215078,175973934,Education
University of Massachusetts System,2014,89,1163,212,0.038499506,155700656,Education
University of Miami Health System,2007,130,691,514,0.063010121,111831984,Healthcare
University of Miami Health System,2006,112,704,454,0.037568306,87254333,Healthcare
University of Miami Health System,2012,121,1092,346,0.039653929,130093173,Healthcare
University of Miami Health System,2000,114,573,1043,0.056746032,81885304,Healthcare
University of Miami Health System,2005,143,674,788,0.053947839,94838329,Healthcare
University of Miami Health System,2001,117,570,561,0.035267349,84848142,Healthcare
University of Miami Health System,2013,94,1157,235,0.030357544,113106639,Healthcare
University of Miami Health System,2015,50,1058,90,0.019720624,108241015,Healthcare
University of Miami Health System,2008,121,817,552,0.050660793,105239891,Healthcare
University of Miami Health System,2010,127,874,426,0.041358532,116157494,Healthcare
University of Miami Health System,2011,135,994,450,0.057797449,121294461,Healthcare
University of Miami Health System,2003,114,590,508,0.061231884,95300234,Healthcare
University of Miami Health System,2014,62,1020,198,0.0256246,106360575,Healthcare
University of Miami Health System,2004,133,582,557,0.070965418,101020769,Healthcare
University of Miami Health System,2009,135,916,514,0.055833088,108044498,Healthcare
University of Miami Health System,2002,123,559,637,0.053497942,89040277,Healthcare
University of Minnesota System,2006,372,1576,1847,0.066354867,228784715,Education
University of Minnesota System,2011,300,2000,1658,0.081348521,249506134,Education
University of Minnesota System,2007,312,1750,1250,0.04905765,259824191,Education
University of Minnesota System,2000,335,1192,2070,0.060507371,168597925,Education
University of Minnesota System,2015,143,2181,320,0.029013333,242802585,Education
University of Minnesota System,2005,345,1488,2006,0.074170362,227338684,Education
University of Minnesota System,2008,303,1781,1224,0.051211526,264222972,Education
University of Minnesota System,2014,158,1985,387,0.030759303,248295819,Education
University of Minnesota System,2012,243,2070,987,0.050139899,258115422,Education
University of Minnesota System,2001,311,1215,8428,0.169181217,181764562,Education
University of Minnesota System,2003,306,1344,1739,0.054111493,230606234,Education
University of Minnesota System,2002,362,1222,2548,0.089745748,200691309,Education
University of Minnesota System,2004,335,1408,1623,0.063459408,224328341,Education
University of Minnesota System,2009,337,1953,1444,0.061178531,257152475,Education
University of Minnesota System,2010,308,1869,1286,0.061975163,255294196,Education
University of Minnesota System,2013,235,2159,710,0.049344978,264302067,Education
University of Mississippi,2007,21,79,102,0.089058524,20665650,Education
University of Mississippi,2012,10,110,15,0.023214286,23980349,Education
University of Mississippi,2000,11,61,51,0.036101083,14772970,Education
University of Mississippi,2005,19,65,84,0.04534005,18307891,Education
University of Mississippi,2010,19,125,60,0.033138402,21865984,Education
University of Mississippi,2003,22,76,55,0.016393443,18491953,Education
University of Mississippi,2008,32,108,79,0.040201005,22514884,Education
University of Mississippi,2006,29,92,116,0.081967213,22440390,Education
University of Mississippi,2009,28,119,94,0.069042316,22341506,Education
University of Mississippi,2011,15,109,46,0.040816327,20838840,Education
University of Mississippi,2014,11,116,18,0.02014652,23356356,Education
University of Mississippi,2015,6,156,6,0.016949153,30589541,Education
University of Mississippi,2002,26,65,80,0.029239766,14928231,Education
University of Mississippi,2001,17,98,132,0.052083333,9490826,Education
University of Mississippi,2013,7,146,14,0.022222222,30601707,Education
University of Mississippi,2004,26,63,105,0.065789474,19232297,Education
University of Missouri System,2013,75,1032,180,0.025487589,44888579,Education
University of Missouri System,2004,132,775,653,0.042403905,56316655,Education
University of Missouri System,2005,142,779,648,0.038203558,57292604,Education
University of Missouri System,2015,49,1046,95,0.015414677,48389691,Education
University of Missouri System,2010,119,1032,378,0.042622134,61648018,Education
University of Missouri System,2007,133,832,535,0.041963796,60333596,Education
University of Missouri System,2000,103,655,585,0.034646244,35049919,Education
University of Missouri System,2011,117,974,447,0.036677709,53362933,Education
University of Missouri System,2009,129,913,513,0.050411523,59042353,Education
University of Missouri System,2014,65,1067,193,0.027468934,46020157,Education
University of Missouri System,2002,148,720,954,0.057537012,49597010,Education
University of Missouri System,2001,138,636,769,0.051353227,45669919,Education
University of Missouri System,2006,154,790,603,0.041153415,59876819,Education
University of Missouri System,2008,147,895,696,0.062666667,63254367,Education
University of Missouri System,2012,111,1080,312,0.03854095,51387957,Education
University of Missouri System,2003,115,741,641,0.039715854,64609792,Education
University of Montana System,2005,12,47,44,0.030973451,32235399,Education
University of Montana System,2006,11,106,40,0.062780269,30388155,Education
University of Montana System,2008,10,75,19,0.017964072,29009454,Education
University of Montana System,2007,8,89,37,0.041237113,27189467,Education
University of Montana System,2003,9,46,24,0.030612245,28314729,Education
University of Montana System,2011,7,97,10,0.014285714,28221053,Education
University of Montana System,2000,3,44,6,0.008403361,11544927,Education
University of Montana System,2013,7,78,9,0.01826484,21978150,Education
University of Montana System,2010,10,108,16,0.023866348,24885280,Education
University of Montana System,2014,3,95,3,0.002457002,22470221,Education
University of Montana System,2001,10,52,21,0.028571429,15113658,Education
University of Montana System,2009,11,105,21,0.016620499,30040760,Education
University of Montana System,2004,9,50,31,0.042056075,27191879,Education
University of Montana System,2015,3,96,5,0.020512821,22930797,Education
University of Montana System,2012,7,90,28,0.025761124,24144748,Education
University of Montana System,2002,10,40,55,0.120689655,20739317,Education
University of Nebraska System,2005,130,554,992,0.060341405,60572724,Education
University of Nebraska System,2014,64,820,169,0.034292035,73893994,Education
University of Nebraska System,2010,147,694,472,0.0634278,76305664,Education
University of Nebraska System,2008,136,600,715,0.070144519,65524271,Education
University of Nebraska System,2001,120,480,689,0.044817927,40970619,Education
University of Nebraska System,2012,108,809,339,0.054673183,74061500,Education
University of Nebraska System,2009,121,639,440,0.049965302,74764173,Education
University of Nebraska System,2011,115,791,576,0.070158422,68641119,Education
University of Nebraska System,2004,154,540,1087,0.087447699,58525678,Education
University of Nebraska System,2006,140,579,689,0.079139454,64093073,Education
University of Nebraska System,2015,64,917,110,0.023545332,74350910,Education
University of Nebraska System,2000,115,455,647,0.065155807,30777783,Education
University of Nebraska System,2013,82,825,136,0.030626986,69998363,Education
University of Nebraska System,2003,130,487,778,0.067490075,54228209,Education
University of Nebraska System,2007,143,586,1178,0.080704329,60553820,Education
University of Nebraska System,2002,124,470,843,0.064952639,47055966,Education
University of New England,2013,1,26,15,0.106382979,2906781,Education
University of New England,2001,2,6,11,0.090909091,426071,Education
University of New England,2012,1,38,2,0.028985507,3302372,Education
University of New England,2010,1,17,5,0.018867925,1180254,Education
University of New England,2005,1,12,5,0.029411765,263293,Education
University of New England,2014,1,15,11,0.036697248,3112594,Education
University of New England,2011,4,20,14,0.05,891627,Education
University of New Mexico,2011,42,385,200,0.051142546,60555052,Education
University of New Mexico,2010,57,343,215,0.050473186,66036254,Education
University of New Mexico,2002,63,297,306,0.0356623,49668695,Education
University of New Mexico,2005,62,357,242,0.04518664,67474792,Education
University of New Mexico,2014,20,312,126,0.04682869,59221453,Education
University of New Mexico,2006,76,389,478,0.090680101,67236238,Education
University of New Mexico,2001,45,312,235,0.032860344,45037849,Education
University of New Mexico,2008,71,430,452,0.071552222,58552386,Education
University of New Mexico,2012,38,405,89,0.028245519,60876000,Education
University of New Mexico,2013,28,359,87,0.029279279,53568608,Education
University of New Mexico,2003,56,333,258,0.032821229,53547369,Education
University of New Mexico,2015,15,326,21,0.017083588,59314804,Education
University of New Mexico,2000,40,329,209,0.050354052,38147202,Education
University of New Mexico,2009,73,411,342,0.058951965,63476473,Education
University of New Mexico,2007,69,358,235,0.04660767,65325105,Education
University of New Mexico,2004,69,343,271,0.053944707,55081625,Education
University of North Carolina System,2007,505,2553,2693,0.062347188,360533577,Education
University of North Carolina System,2010,454,3076,1879,0.056877773,388002149,Education
University of North Carolina System,2006,470,2336,2747,0.056446821,338200699,Education
University of North Carolina System,2008,483,2663,2681,0.061820111,401872870,Education
University of North Carolina System,2005,492,2247,2454,0.058841875,333406487,Education
University of North Carolina System,2009,432,2847,1919,0.056579838,387996449,Education
University of North Carolina System,2014,232,3617,852,0.039695889,430127242,Education
University of North Carolina System,2003,447,1934,2307,0.059803698,303096212,Education
University of North Carolina System,2011,409,3103,1566,0.053525202,382055268,Education
University of North Carolina System,2001,413,1845,2241,0.049745689,237677315,Education
University of North Carolina System,2012,402,3419,1432,0.053633091,422521385,Education
University of North Carolina System,2002,454,1826,2394,0.054140505,265286091,Education
University of North Carolina System,2004,501,2141,2647,0.059659091,326636570,Education
University of North Carolina System,2013,349,3484,1267,0.049229692,422182153,Education
University of North Carolina System,2015,175,3641,437,0.025294232,419581591,Education
University of North Carolina System,2000,421,1763,2676,0.063138828,229364499,Education
University of North Dakota,2005,14,100,109,0.040106952,12627564,Education
University of North Dakota,2007,9,96,22,0.004618938,8280720,Education
University of North Dakota,2006,16,97,36,0.023866348,8696013,Education
University of North Dakota,2004,13,78,56,0.026239067,8073197,Education
University of North Texas System,2005,17,129,56,0.04743833,12857906,Education
University of North Texas System,2009,15,168,45,0.027777778,17686865,Education
University of North Texas System,2007,22,172,76,0.053356282,12670046,Education
University of North Texas System,2003,26,119,81,0.034557235,10976926,Education
University of North Texas System,2011,15,234,40,0.027261462,13579800,Education
University of North Texas System,2006,19,122,29,0.03180212,13928885,Education
University of North Texas System,2002,23,103,101,0.061904762,5533951,Education
University of North Texas System,2014,17,264,29,0.021235521,10042434,Education
University of North Texas System,2001,13,96,105,0.035175879,5575460,Education
University of North Texas System,2008,26,171,74,0.034700315,13925215,Education
University of North Texas System,2004,20,127,63,0.024590164,11845837,Education
University of North Texas System,2010,20,203,92,0.070539419,14721671,Education
University of North Texas System,2000,16,90,41,0.028947368,3872987,Education
University of North Texas System,2015,11,241,13,0.010889292,13823047,Education
University of North Texas System,2013,27,266,56,0.048754063,12338856,Education
University of North Texas System,2012,33,224,75,0.047619048,14569764,Education
University of Northern Colorado,2011,1,18,5,0.083333333,349406,Education
University of Northern Colorado,2000,3,12,22,0.035087719,5150,Education
University of Northern Colorado,2006,1,17,2,0.022222222,204095,Education
University of Notre Dame,2007,49,174,284,0.139504563,16913726,Education
University of Notre Dame,2009,38,187,152,0.072345391,12232455,Education
University of Notre Dame,2015,33,268,47,0.038237739,17879143,Education
University of Notre Dame,2005,56,175,267,0.106153846,26055989,Education
University of Notre Dame,2001,24,113,141,0.068306011,10115545,Education
University of Notre Dame,2006,42,136,210,0.091397849,16839042,Education
University of Notre Dame,2003,38,136,298,0.082,14658944,Education
University of Notre Dame,2008,44,181,225,0.091911765,11585620,Education
University of Notre Dame,2013,45,263,103,0.065420561,14038680,Education
University of Notre Dame,2000,19,113,104,0.072413793,7834969,Education
University of Notre Dame,2012,57,277,153,0.099061522,16143876,Education
University of Notre Dame,2011,39,209,126,0.064239829,17743847,Education
University of Notre Dame,2002,32,122,106,0.075117371,12988510,Education
University of Notre Dame,2004,46,137,237,0.093645485,17793514,Education
University of Notre Dame,2014,36,270,86,0.053819444,18192977,Education
University of Notre Dame,2010,34,222,160,0.077464789,11174603,Education
University of Oklahoma,2013,25,291,55,0.033942559,49147281,Education
University of Oklahoma,2009,34,265,112,0.05019305,45855472,Education
University of Oklahoma,2012,23,251,45,0.020547945,47629509,Education
University of Oklahoma,2005,26,173,135,0.046478873,47411188,Education
University of Oklahoma,2001,16,144,108,0.017985612,31769208,Education
University of Oklahoma,2014,16,227,30,0.020547945,48928657,Education
University of Oklahoma,2004,30,173,115,0.044585987,47104911,Education
University of Oklahoma,2006,23,250,100,0.019973369,42396154,Education
